Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location,Total_Value
MED118,Paracetamol,Syrup,32.0,522.0,Medlife Suppliers,2026-01-12,08-09-2025,90.0,NO,108.0,Cold Storage,16704.0
MED119,Omeprazole,Injection,534.0,356.53,Abc Pharma,2027-04-06,16-09-2025,29.0,NO,6.0,Cold Storage,190387.02
MED120,Insulin,Tablet,35.0,242.66,Medlife Suppliers,2027-07-28,05-12-2026,41.0,YES ,131.0,Shelf 1,8493.1
MED121,Vitamin C,Injection,85.0,643.77,Medlife Suppliers,2026-10-20,12-09-2025,26.0,YES ,180.0,Cold Storage,54720.45
MED122,Omeprazole,Injection,73.0,124.9,Sun Pharma,2026-12-12,05-12-2026,24.0,YES ,230.0,Shelf 1,9117.7
MED123,Vitamin C,Tablet,854.0,123.0,Apollo Meds,2027-04-06,12-09-2025,85.0,YES ,96.0,Shelf 1,105042.0
MED124,Metfromin,Syrup,86.0,534.0,Abc Pharma,2027-11-02,29-10-2025,71.0,YES ,87.0,Rack C,45924.0
MED125,Vitamin C,Capsule,57.0,412.52,Healthcare Distributors,2026-10-20,01-12-2025,26.0,NO,53.0,Cold Storage,23513.64
MED126,Dolo 651,Syrup,243.0,326.89,Apollo Meds,2026-01-12,26-07-2024,96.0,NO,236.0,Shelf 1,79434.26999999999
MED127,Insulin,Capsule,743.0,76.34,Healthcare Distributors,2027-04-06,30-01-2025,35.0,YES ,15.0,Shelf 2,56720.62
MED128,Paracetamol,Injection,75.0,324.22,Abc Pharma,2027-07-28,08-11-2025,55.0,NO,290.0,Shelf 1,24316.500000000004
MED129,Metfromin,Injection,86.0,532.64,Healthcare Distributors,2028-09-17,21-04-2027,43.0,YES ,243.0,Rack C,45807.04
MED130,Amoxicillin,Tablet,13.0,120.0,Apollo Meds,2026-10-29,01-10-2026,89.0,YES ,134.0,Cold Storage,1560.0
MED131,Ibuprofen,Syrup,35.0,100.1,Healthcare Distributors,2027-07-28,12-06-2025,70.0,YES ,40.0,Rack C,3503.5
MED132,Azithromycin,Capsule,84.0,756.88,Medlife Suppliers,2026-10-20,12-07-2025,95.0,YES ,248.0,Rack A,63577.92
MED133,Ibuprofen,Syrup,463.0,479.0,Abc Pharma,2026-01-12,18-05-2024,12.0,NO,99.0,Rack A,221777.0
MED134,Vitamin C,Capsule,74.0,500.0,Medlife Suppliers,2027-04-06,15-05-2025,75.0,YES ,216.0,Shelf 1,37000.0
MED135,Cetirizine,Tablet,234.0,639.55,Medlife Suppliers,2027-07-28,24-08-2026,90.0,NO,204.0,Rack C,149654.69999999998
MED136,Azithromycin,Injection,674.0,423.23,Sun Pharma,2026-10-20,31-03-2024,93.0,YES ,37.0,Rack C,285257.02
MED137,Cetirizine,Capsule,89.0,421.89,Apollo Meds,2026-01-12,04-12-2025,29.0,YES ,247.0,Rack B,37548.21
MED138,Paracetamol,Tablet,21.0,789.09,Abc Pharma,2027-04-06,12-11-2026,84.0,YES ,286.0,Shelf 2,16570.89
MED139,Omeprazole,Capsule,13.0,421.54,Healthcare Distributors,2027-11-02,08-09-2025,49.0,NO,159.0,Rack B,5480.02
MED140,Insulin,Syrup,33.0,642.0,Apollo Meds,2026-10-20,16-09-2025,50.0,YES ,67.0,Cold Storage,21186.0
MED141,Vitamin C,Capsule,311.0,878.23,Healthcare Distributors,2026-01-12,05-12-2025,66.0,NO,0.0,Rack A,273129.53
MED142,Omeprazole,Capsule,900.0,535.0,Abc Pharma,2027-04-06,12-09-2025,23.0,NO,7.0,Rack B,481500.0
MED143,Vitamin C,Injection,422.0,122.0,Healthcare Distributors,2027-07-28,05-12-2026,45.0,YES ,90.0,Cold Storage,51484.0
MED144,Metfromin,Tablet,423.0,214.0,Apollo Meds,2028-09-17,12-09-2025,76.0,NO,7.0,Cold Storage,90522.0
MED145,Vitamin C,Syrup,244.0,543.0,Healthcare Distributors,2026-10-29,29-10-2025,34.0,YES ,300.0,Shelf 1,132492.0
MED146,Dolo 652,Injection,22.0,523.99,Medlife Suppliers,2027-07-28,01-12-2026,78.0,YES ,145.0,Rack B,11527.78
MED147,Insulin,Tablet,24.0,653.33,Abc Pharma,2026-10-20,26-07-2024,47.0,YES ,98.0,Shelf 2,15679.920000000002
MED148,Paracetamol,Injection,243.0,543.55,Medlife Suppliers,2026-01-12,30-01-2025,93.0,YES ,243.0,Shelf 1,132082.65
MED149,Metfromin,Injection,352.0,134.69,Medlife Suppliers,2027-04-06,08-11-2025,30.0,YES ,243.0,Rack C,47410.88
MED150,Amoxicillin,Tablet,523.0,437.99,Sun Pharma,2027-07-28,21-04-2026,56.0,YES ,219.0,Rack B,229068.77000000002
MED151,Ibuprofen,Syrup,856.0,462.44,Apollo Meds,2027-10-20,01-10-2027,23.0,YES ,190.0,Cold Storage,395848.64
MED152,Azithromycin,Capsule,874.0,423.78,Abc Pharma,2026-01-12,12-06-2025,57.0,NO,271.0,Rack C,370383.72
MED153,Ibuprofen,Syrup,213.0,422.44,Healthcare Distributors,2027-04-06,12-07-2025,74.0,NO,54.0,Rack B,89979.72
MED154,Vitamin C,Capsule,131.0,764.0,Apollo Meds,2027-11-02,18-05-2026,34.0,NO,16.0,Rack A,100084.0
MED155,Cetirizine,Injection,141.0,643.0,Healthcare Distributors,2026-10-20,15-05-2025,85.0,YES ,128.0,Rack C,90663.0
MED156,Azithromycin,Injection,63.0,89.0,Abc Pharma,2026-01-12,24-08-2025,24.0,YES ,64.0,Cold Storage,5607.0
MED157,Cetirizine,Tablet,876.0,874.44,Healthcare Distributors,2027-04-06,31-03-2024,45.0,NO,59.0,Cold Storage,766009.4400000001
MED158,Paracetamol,Syrup,654.0,423.0,Apollo Meds,2027-07-28,04-12-2025,66.0,NO,246.0,Shelf 2,276642.0
MED159,Omeprazole,Capsule,234.0,290.0,Healthcare Distributors,2028-09-17,12-11-2027,111.0,NO,218.0,Cold Storage,67860.0
MED160,Insulin,Syrup,21.0,432.0,Medlife Suppliers,2026-10-29,08-09-2025,65.0,NO,198.0,Rack C,9072.0
MED161,Vitamin C,Capsule,321.0,677.55,Abc Pharma,2027-07-28,16-09-2025,83.0,NO,229.0,Rack A,217493.55
MED162,Omeprazole,Tablet,53.0,733.0,Medlife Suppliers,2026-10-20,05-01-2026,73.0,YES ,285.0,Rack C,38849.0
MED163,Vitamin C,Injection,890.0,954.0,Medlife Suppliers,2026-01-12,12-09-2025,39.0,YES ,84.0,Rack C,849060.0
MED164,Metfromin,Capsule,654.0,644.77,Sun Pharma,2027-04-06,05-12-2026,40.0,YES ,175.0,Shelf 2,421679.58
MED165,Vitamin C,Tablet,342.0,500.9,Apollo Meds,2027-07-28,12-09-2025,72.0,NO,35.0,Rack C,171307.8
MED166,Dolo 653,Capsule,312.0,899.4,Abc Pharma,2026-10-20,29-10-2025,60.0,NO,11.0,Rack B,280612.8
MED167,Insulin,Syrup,76.0,643.0,Healthcare Distributors,2026-01-12,01-12-2024,43.0,YES ,130.0,Shelf 2,48868.0
MED168,Azithromycin,Capsule,423.0,434.99,Apollo Meds,2027-04-06,26-07-2026,78.0,NO,161.0,Shelf 1,184000.77
MED169,Ibuprofen,Capsule,123.0,290.0,Healthcare Distributors,2027-11-02,30-01-2025,112.0,NO,34.0,Shelf 1,35670.0
MED170,Vitamin C,Injection,88.0,344.78,Abc Pharma,2026-10-20,08-11-2025,130.0,YES ,65.0,Rack B,30340.64
MED171,Cetirizine,Tablet,11.0,543.0,Healthcare Distributors,2026-01-12,23-04-2025,62.0,YES ,295.0,Rack A,5973.0
MED172,Azithromycin,Syrup,10.0,980.0,Apollo Meds,2027-12-06,01-10-2027,88.0,YES ,136.0,Rack B,9800.0
MED173,Cetirizine,Injection,99.0,106.88,Healthcare Distributors,2027-07-28,12-06-2025,53.0,NO,64.0,Cold Storage,10581.119999999999
MED174,Paracetamol,Tablet,123.0,150.0,Medlife Suppliers,2028-09-17,12-07-2025,94.0,NO,1.0,Rack A,18450.0
MED175,Omeprazole,Injection,835.0,322.0,Abc Pharma,2026-10-29,18-05-2026,66.0,YES ,71.0,Cold Storage,268870.0
MED176,Insulin,Injection,537.0,43.54,Medlife Suppliers,2027-07-28,15-05-2025,34.0,NO,61.0,Shelf 2,23380.98
MED177,Vitamin C,Tablet,76.0,423.56,Medlife Suppliers,2026-10-20,24-08-2026,133.0,YES ,68.0,Shelf 2,32190.56
MED178,Omeprazole,Syrup,63.0,75.4,Sun Pharma,2026-01-12,31-03-2024,75.0,YES ,239.0,Rack C,4750.200000000001
MED179,Vitamin C,Capsule,87.0,243.66,Apollo Meds,2027-04-06,04-12-2025,53.0,YES ,294.0,Shelf 2,21198.42
MED180,Metfromin,Syrup,55.0,642.0,Abc Pharma,2027-07-28,12-11-2026,39.0,YES ,120.0,Cold Storage,35310.0
MED181,Vitamin C,Capsule,33.0,645.0,Healthcare Distributors,2026-10-20,08-09-2025,91.0,NO,77.0,Shelf 2,21285.0
MED182,Dolo 652,Injection,87.0,423.0,Apollo Meds,2026-01-12,16-09-2025,10.0,NO,74.0,Rack A,36801.0
MED183,Insulin,Injection,334.0,677.0,Healthcare Distributors,2027-04-06,05-12-2026,27.0,NO,107.0,Cold Storage,226118.0
MED184,Paracetamol,Tablet,766.0,565.0,Abc Pharma,2027-11-02,12-09-2025,128.0,YES ,219.0,Cold Storage,432790.0
MED185,Metfromin,Syrup,43.0,454.0,Healthcare Distributors,2026-10-20,05-06-2026,53.0,YES ,87.0,Rack B,19522.0
MED186,Amoxicillin,Capsule,234.0,978.0,Apollo Meds,2026-01-12,12-09-2025,764.0,YES ,288.0,Rack B,228852.0
MED187,Ibuprofen,Syrup,12.0,799.0,Healthcare Distributors,2027-04-06,29-10-2025,85.0,YES ,244.0,Shelf 1,9588.0
MED188,Azithromycin,Capsule,75.0,789.0,Medlife Suppliers,2027-07-28,01-12-2026,343.0,NO,182.0,Shelf 2,59175.0
MED189,Ibuprofen,Tablet,421.0,654.0,Abc Pharma,2028-09-17,26-07-2027,54.0,YES ,48.0,Shelf 1,275334.0
MED190,Vitamin C,Injection,535.0,453.0,Medlife Suppliers,2026-10-29,30-01-2025,77.0,YES ,0.0,Shelf 2,242355.0
MED191,Cetirizine,Capsule,235.0,374.0,Medlife Suppliers,2027-07-28,08-11-2025,331.0,NO,172.0,Shelf 2,87890.0
MED192,Azithromycin,Tablet,43.0,657.0,Sun Pharma,2026-10-20,20-10-2025,97.0,NO,199.0,Shelf 2,28251.0
MED193,Cetirizine,Capsule,242.0,234.0,Apollo Meds,2026-01-12,01-10-2024,57.0,YES ,28.0,Shelf 2,56628.0
MED194,Paracetamol,Syrup,121.0,867.65,Abc Pharma,2027-04-06,12-06-2025,87.0,YES ,299.0,Cold Storage,104985.65
MED195,Omeprazole,Capsule,53.0,12.77,Healthcare Distributors,2027-07-28,12-07-2025,320.0,NO,243.0,Rack A,676.81
MED196,Insulin,Capsule,246.0,867.77,Apollo Meds,2026-10-20,18-05-2026,110.0,NO,284.0,Rack B,213471.41999999998
MED197,Vitamin C,Injection,35.0,234.0,Healthcare Distributors,2026-01-12,15-05-2025,32.0,NO,194.0,Rack B,8190.0
MED198,Omeprazole,Tablet,235.0,190.67,Abc Pharma,2027-04-06,24-08-2026,35.0,YES ,237.0,Cold Storage,44807.45
