Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location
MED048,Omeprazole,Injection,242.0,543.55,Medlife Suppliers,12-01-2026,30-01-2025,47.0,YES,246.0,Rack B
MED049,Insulin,Injection,432.0,134.69,Medlife Suppliers,06-04-2027,08-11-2025,93.0,YES,110.0,Rack A
MED053,Metfromin,Syrup,235.0,422.44,Healthcare Distributors,06-04-2027,12-07-2025,57.0,NO,130.0,Rack B
MED054,Vitamin C,Capsule,235.0,764.0,Apollo Meds,02-11-2027,18-05-2026,74.0,NO,53.0,Rack B
MED055,Dolo 650,Injection,856.0,643.0,Healthcare Distributors,20-10-2026,15-05-2025,34.0,YES,267.0,Shelf 1
MED060,Cetirizine,Syrup,642.0,432.0,Medlife Suppliers,29-10-2026,08-09-2025,111.0,NO,235.0,Shelf 2
MED061,Azithromycin,Capsule,674.0,677.55,Abc Pharma,28-07-2027,16-09-2025,65.0,NO,295.0,Rack C
MED062,Cetirizine,Tablet,532.0,733.0,Medlife Suppliers,20-10-2026,05-01-2026,83.0,YES,176.0,Cold Storage
MED064,Omeprazole,Capsule,345.0,644.77,Sun Pharma,06-04-2027,05-12-2026,39.0,YES,85.0,Rack B
MED065,Insulin,Tablet,422.0,500.9,Apollo Meds,28-07-2027,12-09-2025,40.0,NO,42.0,Rack B
MED066,Vitamin C,Capsule,464.0,899.4,Abc Pharma,20-10-2026,29-10-2025,72.0,NO,18.0,Cold Storage
MED067,Omeprazole,Syrup,745.0,643.0,Healthcare Distributors,12-01-2026,01-12-2024,60.0,YES,163.0,Rack B
MED068,Vitamin C,Capsule,535.0,434.99,Apollo Meds,06-04-2027,26-07-2026,43.0,NO,258.0,Shelf 2
MED069,Metfromin,Capsule,235.0,290.0,Healthcare Distributors,02-11-2027,30-01-2025,78.0,NO,8.0,Rack B
MED072,Insulin,Syrup,421.0,980.0,Apollo Meds,06-12-2027,01-10-2027,62.0,YES,123.0,Shelf 1
MED073,Paracetamol,Injection,535.0,106.88,Healthcare Distributors,28-07-2027,12-06-2025,88.0,NO,92.0,Rack B
MED074,Metfromin,Tablet,235.0,150.0,Medlife Suppliers,17-09-2028,12-07-2025,53.0,NO,114.0,Shelf 1
MED076,Ibuprofen,Injection,242.0,43.54,Medlife Suppliers,28-07-2027,15-05-2025,66.0,NO,184.0,Rack C
MED079,Vitamin C,Capsule,246.0,243.66,Apollo Meds,06-04-2027,04-12-2025,75.0,YES,271.0,Shelf 2
MED081,Azithromycin,Capsule,235.0,645.0,Healthcare Distributors,20-10-2026,08-09-2025,39.0,NO,192.0,Rack A
MED082,Cetirizine,Injection,644.0,423.0,Apollo Meds,12-01-2026,16-09-2025,91.0,NO,294.0,Shelf 1
MED083,Paracetamol,Injection,232.0,677.0,Healthcare Distributors,06-04-2027,05-12-2026,10.0,NO,125.0,Rack B
MED085,Insulin,Syrup,312.0,454.0,Healthcare Distributors,20-10-2026,05-06-2026,128.0,YES,91.0,Shelf 1
MED087,Omeprazole,Syrup,214.0,799.0,Healthcare Distributors,06-04-2027,29-10-2025,764.0,YES,215.0,Shelf 2
MED089,Metfromin,Tablet,234.0,654.0,Abc Pharma,17-09-2028,26-07-2027,343.0,YES,249.0,Cold Storage
MED090,Vitamin C,Injection,987.0,453.0,Medlife Suppliers,29-10-2026,30-01-2025,54.0,YES,190.0,Shelf 1
MED092,Insulin,Tablet,235.0,657.0,Sun Pharma,20-10-2026,20-10-2025,331.0,NO,61.0,Rack A
MED096,Ibuprofen,Capsule,412.0,867.77,Apollo Meds,20-10-2026,18-05-2026,320.0,NO,149.0,Shelf 1
MED097,Azithromycin,Injection,642.0,234.0,Healthcare Distributors,12-01-2026,15-05-2025,110.0,NO,243.0,Cold Storage
MED098,Ibuprofen,Tablet,224.0,190.67,Abc Pharma,06-04-2027,24-08-2026,32.0,YES,159.0,Shelf 1
MED102,Ibuprofen,Injection,233.0,512.0,Apollo Meds,20-10-2026,12-09-2025,98.0,YES,111.0,Rack B
MED103,Vitamin C,Tablet,532.0,213.9,Healthcare Distributors,12-01-2026,29-10-2025,74.0,YES,266.0,Rack A
MED104,Cetirizine,Syrup,234.0,421.11,Medlife Suppliers,06-04-2027,01-12-2026,68.0,NO,151.0,Rack B
MED105,Azithromycin,Capsule,532.0,242.0,Abc Pharma,28-07-2027,26-07-2027,62.0,NO,256.0,Shelf 2
MED107,Paracetamol,Capsule,234.0,250.12,Medlife Suppliers,12-01-2026,08-11-2025,39.0,YES,171.0,Rack A
MED108,Omeprazole,Tablet,675.0,366.0,Sun Pharma,06-04-2027,21-04-2026,96.0,NO,53.0,Rack B
MED115,Cetirizine,Capsule,754.0,427.0,Healthcare Distributors,29-10-2026,31-03-2024,84.0,YES,182.0,Rack C
MED117,Cetirizine,Tablet,753.0,634.4,Healthcare Distributors,21-10-2028,12-11-2027,90.0,YES,127.0,Rack A
MED119,Omeprazole,Injection,534.0,356.53,Abc Pharma,06-04-2027,16-09-2025,29.0,NO,6.0,Cold Storage
MED123,Vitamin C,Tablet,854.0,123.0,Apollo Meds,06-04-2027,12-09-2025,85.0,YES,96.0,Shelf 1
MED126,Dolo 650,Syrup,243.0,326.89,Apollo Meds,12-01-2026,26-07-2024,96.0,NO,236.0,Shelf 1
MED127,Insulin,Capsule,743.0,76.34,Healthcare Distributors,06-04-2027,30-01-2025,35.0,YES,15.0,Shelf 2
MED133,Ibuprofen,Syrup,463.0,479.0,Abc Pharma,12-01-2026,18-05-2024,12.0,NO,99.0,Rack A
MED135,Cetirizine,Tablet,234.0,639.55,Medlife Suppliers,28-07-2027,24-08-2026,90.0,NO,204.0,Rack C
MED136,Azithromycin,Injection,674.0,423.23,Sun Pharma,20-10-2026,31-03-2024,93.0,YES,37.0,Rack C
MED141,Vitamin C,Capsule,311.0,878.23,Healthcare Distributors,12-01-2026,05-12-2025,66.0,NO,0.0,Rack A
MED142,Omeprazole,Capsule,900.0,535.0,Abc Pharma,06-04-2027,12-09-2025,23.0,NO,7.0,Rack B
MED143,Vitamin C,Injection,422.0,122.0,Healthcare Distributors,28-07-2027,05-12-2026,45.0,YES,90.0,Cold Storage
MED144,Metfromin,Tablet,423.0,214.0,Apollo Meds,17-09-2028,12-09-2025,76.0,NO,7.0,Cold Storage
MED145,Vitamin C,Syrup,244.0,543.0,Healthcare Distributors,29-10-2026,29-10-2025,34.0,YES,300.0,Shelf 1
MED148,Paracetamol,Injection,243.0,543.55,Medlife Suppliers,12-01-2026,30-01-2025,93.0,YES,243.0,Shelf 1
MED149,Metfromin,Injection,352.0,134.69,Medlife Suppliers,06-04-2027,08-11-2025,30.0,YES,243.0,Rack C
MED150,Amoxicillin,Tablet,523.0,437.99,Sun Pharma,28-07-2027,21-04-2026,56.0,YES,219.0,Rack B
MED151,Ibuprofen,Syrup,856.0,462.44,Apollo Meds,20-10-2027,01-10-2027,23.0,YES,190.0,Cold Storage
MED152,Azithromycin,Capsule,874.0,423.78,Abc Pharma,12-01-2026,12-06-2025,57.0,NO,271.0,Rack C
MED153,Ibuprofen,Syrup,213.0,422.44,Healthcare Distributors,06-04-2027,12-07-2025,74.0,NO,54.0,Rack B
MED157,Cetirizine,Tablet,876.0,874.44,Healthcare Distributors,06-04-2027,31-03-2024,45.0,NO,59.0,Cold Storage
MED158,Paracetamol,Syrup,654.0,423.0,Apollo Meds,28-07-2027,04-12-2025,66.0,NO,246.0,Shelf 2
MED159,Omeprazole,Capsule,234.0,290.0,Healthcare Distributors,17-09-2028,12-11-2027,111.0,NO,218.0,Cold Storage
MED161,Vitamin C,Capsule,321.0,677.55,Abc Pharma,28-07-2027,16-09-2025,83.0,NO,229.0,Rack A
MED163,Vitamin C,Injection,890.0,954.0,Medlife Suppliers,12-01-2026,12-09-2025,39.0,YES,84.0,Rack C
MED164,Metfromin,Capsule,654.0,644.77,Sun Pharma,06-04-2027,05-12-2026,40.0,YES,175.0,Shelf 2
MED165,Vitamin C,Tablet,342.0,500.9,Apollo Meds,28-07-2027,12-09-2025,72.0,NO,35.0,Rack C
MED166,Dolo 650,Capsule,312.0,899.4,Abc Pharma,20-10-2026,29-10-2025,60.0,NO,11.0,Rack B
MED168,Azithromycin,Capsule,423.0,434.99,Apollo Meds,06-04-2027,26-07-2026,78.0,NO,161.0,Shelf 1
MED175,Omeprazole,Injection,835.0,322.0,Abc Pharma,29-10-2026,18-05-2026,66.0,YES,71.0,Cold Storage
MED176,Insulin,Injection,537.0,43.54,Medlife Suppliers,28-07-2027,15-05-2025,34.0,NO,61.0,Shelf 2
MED183,Insulin,Injection,334.0,677.0,Healthcare Distributors,06-04-2027,05-12-2026,27.0,NO,107.0,Cold Storage
MED184,Paracetamol,Tablet,766.0,565.0,Abc Pharma,02-11-2027,12-09-2025,128.0,YES,219.0,Cold Storage
MED186,Amoxicillin,Capsule,234.0,978.0,Apollo Meds,12-01-2026,12-09-2025,764.0,YES,288.0,Rack B
MED189,Ibuprofen,Tablet,421.0,654.0,Abc Pharma,17-09-2028,26-07-2027,54.0,YES,48.0,Shelf 1
MED190,Vitamin C,Injection,535.0,453.0,Medlife Suppliers,29-10-2026,30-01-2025,77.0,YES,0.0,Shelf 2
MED191,Cetirizine,Capsule,235.0,374.0,Medlife Suppliers,28-07-2027,08-11-2025,331.0,NO,172.0,Shelf 2
MED193,Cetirizine,Capsule,242.0,234.0,Apollo Meds,12-01-2026,01-10-2024,57.0,YES,28.0,Shelf 2
MED196,Insulin,Capsule,246.0,867.77,Apollo Meds,20-10-2026,18-05-2026,110.0,NO,284.0,Rack B
MED198,Omeprazole,Tablet,235.0,190.67,Abc Pharma,06-04-2027,24-08-2026,35.0,YES,237.0,Cold Storage
MED199,Vitamin C,Syrup,644.0,299.0,Healthcare Distributors,02-11-2027,31-03-2024,70.0,YES,218.0,Shelf 2
MED200,Metfromin,Injection,232.0,101.99,Apollo Meds,20-10-2026,04-12-2025,12.0,YES,10.0,Rack C
MED201,Azithromycin,Injection,452.7,666.0,Apollo Meds,13-03-2027,29-11-2025,27.0,YES,55.0,Rack A
MED202,Ibuprofen,Injection,510.8,219.9,Pharmaplus,06-04-2028,19-05-2025,97.0,YES,186.0,Cold Storage
MED203,Vitamin C,Tablet,568.9,24.2,Medisupply Co.,22-01-2027,16-03-2025,30.0,YES,33.0,Rack A
MED204,Cetirizine,Syrup,627.0,178.9,Caremed Pvt Ltd,19-01-2027,15-06-2025,26.0,NO,111.0,Rack A
MED205,Azithromycin,Capsule,685.1,428.43,Healthcare Distributors,24-08-2028,05-03-2025,86.0,YES,20.0,Rack B
MED206,Cetirizine,Tablet,743.2,15.5,Healthcare Distributors,25-01-2029,18-06-2025,66.0,YES,94.0,Shelf 1
MED207,Paracetamol,Capsule,801.3,459.51,Medisupply Co.,28-01-2028,25-11-2025,37.0,NO,84.0,Shelf 1
MED208,Omeprazole,Tablet,859.4,312.69,Pharmaplus,15-01-2027,10-05-2025,29.0,NO,56.0,Cold Storage
MED209,Insulin,Injection,917.5,170.86,Pharmaplus,01-02-2027,09-06-2025,83.0,YES,27.0,Cold Storage
MED210,Vitamin C,Capsule,975.6,309.1,Caremed Pvt Ltd,03-09-2027,09-04-2025,95.0,NO,292.0,Shelf 2
MED211,Omeprazole,Injection,1033.7,477.92,Medisupply Co.,15-04-2027,21-12-2025,29.0,YES,10.0,Cold Storage
MED212,Vitamin C,Capsule,1091.8,343.9,Caremed Pvt Ltd,31-05-2027,05-01-2025,33.0,NO,299.0,Shelf 2
MED213,Metformin,Syrup,1149.9,146.48,Caremed Pvt Ltd,08-01-2028,19-05-2025,82.0,YES,131.0,Rack A
MED216,Paracetamol,Tablet,754.0,92.49,Pharmaplus,21-08-2028,17-04-2025,20.0,YES,198.0,Rack B
MED218,Dolo 650,Capsule,753.0,127.02,Pharmaplus,12-07-2027,21-02-2025,49.0,YES,151.0,Cold Storage
MED220,Paracetamol,Tablet,534.0,244.64,Apollo Meds,17-10-2028,14-01-2025,23.0,YES,15.0,Cold Storage
MED224,Cetirizine,Capsule,854.0,14.47,Caremed Pvt Ltd,06-04-2029,25-07-2025,40.0,YES,125.0,Rack C
MED227,Paracetamol,Tablet,243.0,345.14,Pharmaplus,13-10-2027,11-08-2025,71.0,YES,250.0,Shelf 1
MED228,Insulin,Tablet,743.0,52.89,Healthcare Distributors,07-01-2028,14-03-2025,19.0,NO,39.0,Shelf 1
MED234,Paracetamol,Tablet,463.0,493.64,Healthcare Distributors,20-02-2027,22-12-2025,45.0,YES,135.0,Cold Storage
MED236,Azithromycin,Tablet,234.0,172.82,Medisupply Co.,25-03-2028,19-11-2025,73.0,YES,126.0,Rack B
MED237,Vitamin C,Syrup,674.0,38.71,Medisupply Co.,14-11-2028,28-12-2025,23.0,YES,11.0,Rack C
MED242,Dolo 650,Syrup,311.0,129.17,Pharmaplus,14-09-2028,06-11-2025,49.0,NO,129.0,Rack A
MED243,Amoxicillin,Tablet,900.0,360.66,Pharmaplus,27-12-2028,18-04-2025,63.0,YES,34.0,Rack B
MED244,Omeprazole,Syrup,422.0,70.9,Apollo Meds,25-06-2026,26-06-2025,19.0,YES,69.0,Shelf 1
MED245,Insulin,Injection,423.0,481.82,Medisupply Co.,24-12-2026,28-03-2025,85.0,NO,258.0,Rack C
MED246,Ibuprofen,Tablet,244.0,469.28,Wellness Pharma,26-02-2029,19-01-2025,92.0,YES,293.0,Rack A
MED249,Metformin,Injection,243.0,423.58,Medisupply Co.,28-10-2028,12-05-2025,62.0,NO,277.0,Rack C
MED250,Metformin,Syrup,352.0,108.72,Wellness Pharma,20-01-2028,09-06-2025,58.0,NO,130.0,Rack C
MED251,Paracetamol,Syrup,523.0,291.46,Apollo Meds,21-11-2027,27-10-2025,77.0,YES,257.0,Rack A
MED252,Amoxicillin,Tablet,856.0,51.6,Apollo Meds,24-05-2028,14-12-2025,36.0,NO,290.0,Shelf 1
MED253,Azithromycin,Syrup,373.0,289.19,Medisupply Co.,07-12-2028,24-02-2025,70.0,NO,190.0,Shelf 1
MED256,Insulin,Capsule,467.0,283.95,Pharmaplus,05-08-2028,30-08-2025,23.0,YES,18.0,Rack B
MED257,Paracetamol,Syrup,229.0,434.72,Medisupply Co.,01-03-2026,17-08-2025,23.0,NO,37.0,Shelf 2
MED259,Dolo 650,Capsule,487.0,460.37,Medisupply Co.,25-07-2027,02-12-2025,80.0,NO,220.0,Rack C
MED260,Metformin,Tablet,489.0,235.41,Caremed Pvt Ltd,29-08-2028,06-08-2025,55.0,YES,194.0,Rack B
MED261,Vitamin C,Syrup,419.0,16.87,Healthcare Distributors,24-10-2027,22-09-2025,96.0,NO,248.0,Rack B
MED262,Cetirizine,Syrup,240.0,349.8,Apollo Meds,21-10-2026,05-11-2025,68.0,YES,146.0,Rack A
MED263,Metformin,Tablet,408.0,167.27,Caremed Pvt Ltd,26-03-2026,10-10-2025,89.0,YES,117.0,Cold Storage
MED266,Cetirizine,Tablet,210.0,221.06,Wellness Pharma,04-06-2028,27-06-2025,92.0,NO,14.0,Shelf 2
MED268,Amoxicillin,Tablet,367.0,217.07,Caremed Pvt Ltd,30-03-2028,21-07-2025,75.0,YES,50.0,Rack B
MED269,Insulin,Tablet,435.0,418.57,Healthcare Distributors,12-03-2029,29-03-2025,80.0,YES,149.0,Rack A
MED270,Azithromycin,Capsule,180.0,295.91,Medisupply Co.,07-10-2026,14-10-2025,46.0,YES,188.0,Cold Storage
MED272,Azithromycin,Tablet,229.0,233.57,Pharmaplus,23-11-2026,06-08-2025,31.0,YES,224.0,Rack C
MED273,Ibuprofen,Syrup,343.0,356.39,Medisupply Co.,30-05-2028,19-08-2025,12.0,NO,64.0,Rack B
MED274,Paracetamol,Injection,248.0,391.59,Apollo Meds,12-05-2028,19-07-2025,78.0,YES,173.0,Rack A
MED275,Vitamin C,Syrup,843.0,14.0,Pharmaplus,27-08-2029,10-06-2025,20.0,NO,268.0,Rack A
MED279,Azithromycin,Capsule,923.0,180.99,Wellness Pharma,16-03-2027,30-11-2025,83.0,YES,242.0,Rack A
MED281,Azithromycin,Syrup,922.0,471.85,Apollo Meds,17-08-2028,12-09-2025,84.0,YES,266.0,Rack C
MED282,Insulin,Tablet,213.0,125.0,Wellness Pharma,24-07-2027,29-03-2025,22.0,YES,97.0,Shelf 2
MED286,Insulin,Capsule,642.0,463.63,Wellness Pharma,26-05-2028,10-12-2025,55.0,YES,237.0,Shelf 2
MED287,Omeprazole,Injection,757.0,298.82,Wellness Pharma,16-04-2028,20-09-2025,12.0,YES,13.0,Shelf 2
MED290,Azithromycin,Injection,865.0,138.69,Apollo Meds,22-12-2026,11-12-2025,38.0,YES,87.0,Rack A
MED293,Insulin,Syrup,242.0,336.59,Medisupply Co.,18-12-2027,15-02-2025,16.0,NO,209.0,Cold Storage
MED294,Dolo 650,Capsule,756.0,400.98,Pharmaplus,23-09-2028,29-03-2025,96.0,YES,90.0,Cold Storage
MED296,Ibuprofen,Injection,543.0,46.06,Apollo Meds,18-01-2029,30-08-2025,42.0,NO,27.0,Shelf 2
MED299,Dolo 650,Tablet,154.0,208.38,Caremed Pvt Ltd,13-05-2027,19-09-2025,43.0,YES,77.0,Rack C
MED300,Cetirizine,Syrup,242.0,334.5,Pharmaplus,07-03-2028,14-06-2025,80.0,NO,256.0,Cold Storage
MED301,Azithromycin,Injection,432.0,307.76,Pharmaplus,29-08-2026,07-03-2025,17.0,YES,224.0,Rack B
MED305,Azithromycin,Capsule,235.0,254.97,Healthcare Distributors,11-12-2027,19-04-2025,49.0,YES,145.0,Shelf 2
MED306,Cetirizine,Tablet,235.0,456.25,Healthcare Distributors,27-10-2026,15-09-2025,84.0,NO,35.0,Shelf 1
MED307,Paracetamol,Capsule,856.0,497.54,Pharmaplus,08-05-2027,01-02-2025,100.0,NO,28.0,Rack C
MED312,Vitamin C,Capsule,642.0,24.18,Healthcare Distributors,06-01-2027,25-11-2025,81.0,YES,243.0,Cold Storage
MED313,Metfromin,Syrup,674.0,165.53,Caremed Pvt Ltd,31-03-2028,16-07-2025,34.0,NO,37.0,Rack B
MED314,Vitamin C,Capsule,532.0,464.83,Medisupply Co.,22-01-2029,16-03-2025,59.0,YES,285.0,Rack C
MED316,Insulin,Tablet,345.0,125.72,Healthcare Distributors,22-05-2027,07-04-2025,66.0,NO,81.0,Shelf 1
MED317,Paracetamol,Tablet,422.0,360.25,Medisupply Co.,08-08-2027,30-06-2025,32.0,YES,246.0,Rack A
MED318,Metfromin,Capsule,464.0,391.61,Caremed Pvt Ltd,06-06-2026,02-12-2025,18.0,NO,98.0,Cold Storage
MED319,Amoxicillin,Syrup,745.0,71.09,Apollo Meds,02-02-2029,08-01-2025,58.0,NO,284.0,Rack B
MED320,Ibuprofen,Tablet,535.0,301.16,Caremed Pvt Ltd,12-06-2028,30-07-2025,45.0,NO,33.0,Rack A
MED321,Azithromycin,Capsule,235.0,294.84,Caremed Pvt Ltd,18-09-2026,29-11-2025,82.0,NO,195.0,Rack A
MED324,Cetirizine,Capsule,421.0,352.87,Medisupply Co.,27-01-2029,10-06-2025,91.0,YES,150.0,Shelf 2
MED325,Azithromycin,Syrup,535.0,479.19,Pharmaplus,01-05-2027,16-09-2025,32.0,YES,11.0,Shelf 1
MED326,Cetirizine,Syrup,235.0,400.23,Caremed Pvt Ltd,26-11-2026,05-03-2025,25.0,YES,138.0,Shelf 1
MED328,Omeprazole,Tablet,242.0,226.33,Medisupply Co.,23-10-2029,11-12-2025,85.0,YES,98.0,Rack A
MED331,Omeprazole,Tablet,246.0,353.86,Caremed Pvt Ltd,08-01-2027,18-04-2025,22.0,NO,154.0,Shelf 2
MED333,Metfromin,Syrup,235.0,137.97,Medisupply Co.,08-02-2027,25-05-2025,63.0,YES,74.0,Cold Storage
MED334,Vitamin C,Tablet,644.0,244.94,Medisupply Co.,21-06-2028,29-06-2025,81.0,NO,106.0,Cold Storage
MED335,Dolo 650,Capsule,232.0,79.58,Apollo Meds,09-12-2028,02-08-2025,91.0,YES,138.0,Rack A
MED337,Paracetamol,Syrup,312.0,389.55,Healthcare Distributors,08-11-2026,24-08-2025,32.0,NO,270.0,Rack C
MED339,Amoxicillin,Injection,214.0,375.65,Pharmaplus,31-08-2027,22-03-2025,92.0,NO,70.0,Cold Storage
MED341,Azithromycin,Syrup,234.0,187.85,Wellness Pharma,01-02-2029,07-10-2025,95.0,NO,37.0,Rack B
MED342,Ibuprofen,Syrup,987.0,482.01,Medisupply Co.,01-03-2028,16-12-2025,54.0,NO,141.0,Rack B
MED344,Cetirizine,Syrup,235.0,414.57,Wellness Pharma,11-09-2026,10-04-2025,21.0,YES,20.0,Cold Storage
MED348,Omeprazole,Capsule,412.0,462.25,Pharmaplus,06-02-2027,12-11-2025,89.0,YES,149.0,Rack B
MED349,Insulin,Injection,642.0,30.62,Medisupply Co.,31-05-2027,04-04-2025,67.0,YES,114.0,Shelf 1
MED350,Vitamin C,Syrup,224.0,481.65,Medisupply Co.,04-02-2028,13-06-2025,38.0,YES,137.0,Rack C
MED354,Vitamin C,Syrup,233.0,425.03,Pharmaplus,18-03-2027,18-10-2025,12.0,NO,5.0,Shelf 2
MED355,Dolo 650,Injection,532.0,89.64,Caremed Pvt Ltd,04-03-2029,27-04-2025,39.0,NO,214.0,Rack A
MED356,Insulin,Capsule,234.0,403.14,Pharmaplus,27-05-2026,06-04-2025,60.0,NO,199.0,Rack B
MED357,Azithromycin,Syrup,532.0,458.13,Medisupply Co.,09-01-2029,21-02-2025,69.0,NO,261.0,Shelf 2
MED359,Vitamin C,Capsule,234.0,361.3,Apollo Meds,30-09-2028,26-02-2025,84.0,YES,229.0,Rack B
MED360,Cetirizine,Tablet,675.0,462.89,Pharmaplus,31-12-2027,24-03-2025,57.0,NO,243.0,Shelf 2
MED367,Omeprazole,Injection,754.0,154.12,Caremed Pvt Ltd,01-04-2026,25-06-2025,59.0,NO,27.0,Rack B
MED369,Metfromin,Tablet,753.0,67.49,Medisupply Co.,17-07-2028,13-01-2025,96.0,NO,52.0,Rack C
MED371,Dolo 650,Syrup,534.0,382.25,Wellness Pharma,10-05-2029,25-04-2025,90.0,NO,154.0,Cold Storage
MED375,Amoxicillin,Syrup,854.0,71.29,Caremed Pvt Ltd,23-10-2026,01-08-2025,51.0,YES,63.0,Shelf 1
MED378,Ibuprofen,Syrup,243.0,169.51,Healthcare Distributors,17-10-2026,13-07-2025,38.0,NO,86.0,Shelf 2
MED379,Vitamin C,Capsule,743.0,268.32,Wellness Pharma,13-09-2027,11-10-2025,36.0,NO,251.0,Cold Storage
MED385,Insulin,Capsule,463.0,200.66,Medisupply Co.,13-08-2026,21-05-2025,56.0,NO,126.0,Cold Storage
MED387,Omeprazole,Injection,234.0,438.33,Medisupply Co.,30-12-2027,17-06-2025,61.0,YES,17.0,Rack B
MED388,Vitamin C,Injection,674.0,182.02,Apollo Meds,08-02-2028,19-02-2025,37.0,YES,295.0,Shelf 1
MED393,Paracetamol,Syrup,311.0,18.7,Caremed Pvt Ltd,29-09-2027,09-03-2025,44.0,YES,83.0,Rack C
MED394,Metfromin,Capsule,900.0,143.14,Healthcare Distributors,13-11-2028,11-06-2025,21.0,NO,35.0,Rack B
MED395,Amoxicillin,Capsule,422.0,27.59,Wellness Pharma,25-06-2029,30-12-2025,70.0,NO,174.0,Cold Storage
MED396,Ibuprofen,Injection,423.0,123.84,Healthcare Distributors,20-08-2027,07-12-2025,62.0,NO,115.0,Rack B
MED397,Azithromycin,Injection,244.0,475.77,Wellness Pharma,04-07-2026,28-05-2025,45.0,YES,168.0,Shelf 2
MED400,Cetirizine,Syrup,243.0,316.5,Apollo Meds,03-06-2029,26-01-2025,56.0,YES,248.0,Rack B
MED401,Azithromycin,Injection,352.0,85.74,Pharmaplus,11-10-2028,22-12-2025,71.0,NO,274.0,Rack C
MED402,Ibuprofen,Injection,523.0,419.1,Medisupply Co.,01-09-2028,10-12-2025,47.0,YES,155.0,Rack C
MED403,Vitamin C,Tablet,856.0,453.35,Caremed Pvt Ltd,21-02-2029,24-04-2025,82.0,NO,265.0,Rack B
MED404,Cetirizine,Syrup,874.0,102.67,Wellness Pharma,13-05-2028,25-05-2025,30.0,NO,67.0,Cold Storage
