Medicine_ID,Medicine_Name,Category,Stock_Quantity,Price_per_unit,Supplier_Name,Expiry_Date,Purchase_Date,Reorder_Level,Prescription_Required,Units_Sold,Storage_Location,days_to_expiry,Status
MED033,Metfromin,Syrup,134.0,479.0,Abc Pharma,2026-01-12,18-05-2024,95.0,NO,90.0,Rack A,-130.0,Expired
MED034,Vitamin C,Capsule,642.0,500.0,Medlife Suppliers,2027-04-06,15-05-2025,12.0,YES ,300.0,Shelf 1,319.0,Safe
MED035,Dolo 651,Tablet,757.0,639.55,Medlife Suppliers,2027-07-28,24-08-2026,75.0,NO,4.0,Rack B,432.0,Safe
MED036,Insulin,Injection,123.0,423.23,Sun Pharma,2026-10-20,31-03-2024,90.0,YES ,164.0,Cold Storage,151.0,Safe
MED037,Paracetamol,Capsule,21.0,421.89,Apollo Meds,2026-01-12,04-12-2025,93.0,YES ,259.0,Rack A,-130.0,Expired
MED038,Metfromin,Tablet,865.0,789.09,Abc Pharma,2027-04-06,12-11-2026,29.0,YES ,212.0,Cold Storage,319.0,Safe
MED039,Amoxicillin,Capsule,13.0,421.54,Healthcare Distributors,2027-11-02,08-09-2025,84.0,NO,167.0,Rack A,529.0,Safe
MED040,Ibuprofen,Syrup,75.0,642.0,Apollo Meds,2026-10-20,16-09-2025,49.0,YES ,135.0,Shelf 2,151.0,Safe
MED041,Azithromycin,Capsule,242.0,878.23,Healthcare Distributors,2026-01-12,05-12-2025,50.0,NO,204.0,Rack B,-130.0,Expired
MED042,Ibuprofen,Capsule,756.0,535.0,Abc Pharma,2027-04-06,12-09-2025,66.0,NO,155.0,Shelf 2,319.0,Safe
MED043,Vitamin C,Injection,24.0,122.0,Healthcare Distributors,2027-07-28,05-12-2026,23.0,YES ,295.0,Shelf 1,432.0,Safe
MED044,Cetirizine,Tablet,543.0,214.0,Apollo Meds,2028-09-17,12-09-2025,45.0,NO,184.0,Cold Storage,849.0,Safe
MED045,Azithromycin,Syrup,132.0,543.0,Healthcare Distributors,2026-10-29,29-10-2025,76.0,YES ,59.0,Rack A,160.0,Safe
MED046,Cetirizine,Injection,127.0,523.99,Medlife Suppliers,2027-07-28,01-12-2026,34.0,YES ,265.0,Cold Storage,432.0,Safe
MED047,Paracetamol,Tablet,154.0,653.33,Abc Pharma,2026-10-20,26-07-2024,78.0,YES ,23.0,Shelf 2,151.0,Safe
MED048,Omeprazole,Injection,242.0,543.55,Medlife Suppliers,2026-01-12,30-01-2025,47.0,YES ,246.0,Rack B,-130.0,Expired
MED049,Insulin,Injection,432.0,134.69,Medlife Suppliers,2027-04-06,08-11-2025,93.0,YES ,110.0,Rack A,319.0,Safe
MED050,Vitamin C,Tablet,12.0,437.99,Sun Pharma,2027-07-28,21-04-2026,30.0,YES ,132.0,Rack C,432.0,Safe
MED051,Omeprazole,Syrup,42.0,462.44,Apollo Meds,2027-10-20,01-10-2027,56.0,YES ,33.0,Rack A,516.0,Safe
MED052,Vitamin C,Capsule,75.0,423.78,Abc Pharma,2026-01-12,12-06-2025,23.0,NO,179.0,Rack A,-130.0,Expired
MED053,Metfromin,Syrup,235.0,422.44,Healthcare Distributors,2027-04-06,12-07-2025,57.0,NO,130.0,Rack B,319.0,Safe
MED054,Vitamin C,Capsule,235.0,764.0,Apollo Meds,2027-11-02,18-05-2026,74.0,NO,53.0,Rack B,529.0,Safe
MED055,Dolo 652,Injection,856.0,643.0,Healthcare Distributors,2026-10-20,15-05-2025,34.0,YES ,267.0,Shelf 1,151.0,Safe
MED056,Insulin,Injection,124.0,89.0,Abc Pharma,2026-01-12,24-08-2025,85.0,YES ,121.0,Shelf 1,-130.0,Expired
MED057,Azithromycin,Tablet,21.0,874.44,Healthcare Distributors,2027-04-06,31-03-2024,24.0,NO,160.0,Shelf 1,319.0,Safe
MED058,Ibuprofen,Syrup,64.0,423.0,Apollo Meds,2027-07-28,04-12-2025,45.0,NO,244.0,Rack C,432.0,Safe
MED059,Vitamin C,Capsule,42.0,290.0,Healthcare Distributors,2028-09-17,12-11-2027,66.0,NO,64.0,Shelf 2,849.0,Safe
MED060,Cetirizine,Syrup,642.0,432.0,Medlife Suppliers,2026-10-29,08-09-2025,111.0,NO,235.0,Shelf 2,160.0,Safe
MED061,Azithromycin,Capsule,674.0,677.55,Abc Pharma,2027-07-28,16-09-2025,65.0,NO,295.0,Rack C,432.0,Safe
MED062,Cetirizine,Tablet,532.0,733.0,Medlife Suppliers,2026-10-20,05-01-2026,83.0,YES ,176.0,Cold Storage,151.0,Safe
MED063,Paracetamol,Injection,124.0,954.0,Medlife Suppliers,2026-01-12,12-09-2025,73.0,YES ,87.0,Rack C,-130.0,Expired
MED064,Omeprazole,Capsule,345.0,644.77,Sun Pharma,2027-04-06,05-12-2026,39.0,YES ,85.0,Rack B,319.0,Safe
MED065,Insulin,Tablet,422.0,500.9,Apollo Meds,2027-07-28,12-09-2025,40.0,NO,42.0,Rack B,432.0,Safe
MED066,Vitamin C,Capsule,464.0,899.4,Abc Pharma,2026-10-20,29-10-2025,72.0,NO,18.0,Cold Storage,151.0,Safe
MED067,Omeprazole,Syrup,745.0,643.0,Healthcare Distributors,2026-01-12,01-12-2024,60.0,YES ,163.0,Rack B,-130.0,Expired
MED068,Vitamin C,Capsule,535.0,434.99,Apollo Meds,2027-04-06,26-07-2026,43.0,NO,258.0,Shelf 2,319.0,Safe
MED069,Metfromin,Capsule,235.0,290.0,Healthcare Distributors,2027-11-02,30-01-2025,78.0,NO,8.0,Rack B,529.0,Safe
MED070,Vitamin C,Injection,12.0,344.78,Abc Pharma,2026-10-20,08-11-2025,112.0,YES ,9.0,Rack B,151.0,Safe
MED071,Dolo 651,Tablet,75.0,543.0,Healthcare Distributors,2026-01-12,23-04-2025,130.0,YES ,188.0,Shelf 1,-130.0,Expired
MED072,Insulin,Syrup,421.0,980.0,Apollo Meds,2027-12-06,01-10-2027,62.0,YES ,123.0,Shelf 1,563.0,Safe
MED073,Paracetamol,Injection,535.0,106.88,Healthcare Distributors,2027-07-28,12-06-2025,88.0,NO,92.0,Rack B,432.0,Safe
MED074,Metfromin,Tablet,235.0,150.0,Medlife Suppliers,2028-09-17,12-07-2025,53.0,NO,114.0,Shelf 1,849.0,Safe
MED075,Amoxicillin,Injection,43.0,322.0,Abc Pharma,2026-10-29,18-05-2026,94.0,YES ,1.0,Cold Storage,160.0,Safe
MED076,Ibuprofen,Injection,242.0,43.54,Medlife Suppliers,2027-07-28,15-05-2025,66.0,NO,184.0,Rack C,432.0,Safe
MED077,Azithromycin,Tablet,121.0,423.56,Medlife Suppliers,2026-10-20,24-08-2026,34.0,YES ,21.0,Cold Storage,151.0,Safe
MED078,Ibuprofen,Syrup,53.0,75.4,Sun Pharma,2026-01-12,31-03-2024,133.0,YES ,177.0,Cold Storage,-130.0,Expired
MED079,Vitamin C,Capsule,246.0,243.66,Apollo Meds,2027-04-06,04-12-2025,75.0,YES ,271.0,Shelf 2,319.0,Safe
MED080,Cetirizine,Syrup,35.0,642.0,Abc Pharma,2027-07-28,12-11-2026,53.0,YES ,111.0,Cold Storage,432.0,Safe
MED081,Azithromycin,Capsule,235.0,645.0,Healthcare Distributors,2026-10-20,08-09-2025,39.0,NO,192.0,Rack A,151.0,Safe
MED082,Cetirizine,Injection,644.0,423.0,Apollo Meds,2026-01-12,16-09-2025,91.0,NO,294.0,Shelf 1,-130.0,Expired
MED083,Paracetamol,Injection,232.0,677.0,Healthcare Distributors,2027-04-06,05-12-2026,10.0,NO,125.0,Rack B,319.0,Safe
MED084,Omeprazole,Tablet,64.0,565.0,Abc Pharma,2027-11-02,12-09-2025,27.0,YES ,176.0,Shelf 2,529.0,Safe
MED085,Insulin,Syrup,312.0,454.0,Healthcare Distributors,2026-10-20,05-06-2026,128.0,YES ,91.0,Shelf 1,151.0,Safe
MED086,Vitamin C,Capsule,56.0,978.0,Apollo Meds,2026-01-12,12-09-2025,53.0,YES ,118.0,Cold Storage,-130.0,Expired
MED087,Omeprazole,Syrup,214.0,799.0,Healthcare Distributors,2027-04-06,29-10-2025,764.0,YES ,215.0,Shelf 2,319.0,Safe
MED088,Vitamin C,Capsule,75.0,789.0,Medlife Suppliers,2027-07-28,01-12-2026,85.0,NO,278.0,Rack A,432.0,Safe
MED089,Metfromin,Tablet,234.0,654.0,Abc Pharma,2028-09-17,26-07-2027,343.0,YES ,249.0,Cold Storage,849.0,Safe
MED090,Vitamin C,Injection,987.0,453.0,Medlife Suppliers,2026-10-29,30-01-2025,54.0,YES ,190.0,Shelf 1,160.0,Safe
MED091,Dolo 652,Capsule,24.0,374.0,Medlife Suppliers,2027-07-28,08-11-2025,77.0,NO,37.0,Shelf 1,432.0,Safe
MED092,Insulin,Tablet,235.0,657.0,Sun Pharma,2026-10-20,20-10-2025,331.0,NO,61.0,Rack A,151.0,Safe
MED093,Paracetamol,Capsule,13.0,234.0,Apollo Meds,2026-01-12,01-10-2024,97.0,YES ,188.0,Rack C,-130.0,Expired
MED094,Metfromin,Syrup,42.0,867.65,Abc Pharma,2027-04-06,12-06-2025,57.0,YES ,17.0,Shelf 1,319.0,Safe
MED095,Amoxicillin,Capsule,53.0,12.77,Healthcare Distributors,2027-07-28,12-07-2025,87.0,NO,257.0,Shelf 2,432.0,Safe
MED096,Ibuprofen,Capsule,412.0,867.77,Apollo Meds,2026-10-20,18-05-2026,320.0,NO,149.0,Shelf 1,151.0,Safe
MED097,Azithromycin,Injection,642.0,234.0,Healthcare Distributors,2026-01-12,15-05-2025,110.0,NO,243.0,Cold Storage,-130.0,Expired
MED098,Ibuprofen,Tablet,224.0,190.67,Abc Pharma,2027-04-06,24-08-2026,32.0,YES ,159.0,Shelf 1,319.0,Safe
MED099,Vitamin C,Syrup,24.0,299.0,Healthcare Distributors,2027-11-02,31-03-2024,35.0,YES ,95.0,Rack B,529.0,Safe
MED100,Cetirizine,Injection,90.0,101.99,Apollo Meds,2026-10-20,04-12-2025,70.0,YES ,170.0,Rack A,151.0,Safe
MED101,Azithromycin,Injection,36.0,363.88,Healthcare Distributors,2027-07-28,05-12-2026,98.0,NO,107.0,Rack A,432.0,Safe
MED102,Ibuprofen,Injection,233.0,512.0,Apollo Meds,2026-10-20,12-09-2025,98.0,YES ,111.0,Rack B,151.0,Safe
MED103,Vitamin C,Tablet,532.0,213.9,Healthcare Distributors,2026-01-12,29-10-2025,74.0,YES ,266.0,Rack A,-130.0,Expired
MED104,Cetirizine,Syrup,234.0,421.11,Medlife Suppliers,2027-04-06,01-12-2026,68.0,NO,151.0,Rack B,319.0,Safe
MED105,Azithromycin,Capsule,532.0,242.0,Abc Pharma,2027-07-28,26-07-2027,62.0,NO,256.0,Shelf 2,432.0,Safe
MED106,Cetirizine,Syrup,56.0,424.89,Medlife Suppliers,2026-10-20,30-01-2025,88.0,NO,121.0,Shelf 1,151.0,Safe
MED107,Paracetamol,Capsule,234.0,250.12,Medlife Suppliers,2026-01-12,08-11-2025,39.0,YES ,171.0,Rack A,-130.0,Expired
MED108,Omeprazole,Tablet,675.0,366.0,Sun Pharma,2027-04-06,21-04-2026,96.0,NO,53.0,Rack B,319.0,Safe
MED109,Insulin,Injection,23.0,512.2,Apollo Meds,2027-11-02,01-10-2027,67.0,YES ,60.0,Rack B,529.0,Safe
MED110,Vitamin C,Capsule,34.0,476.77,Abc Pharma,2026-10-20,12-06-2025,66.0,YES ,237.0,Rack C,151.0,Safe
MED111,Omeprazole,Tablet,54.0,360.0,Healthcare Distributors,2026-01-12,12-07-2025,96.0,YES ,164.0,Rack B,-130.0,Expired
MED112,Azithromycin,Capsule,53.0,119.78,Apollo Meds,2027-04-06,18-05-2026,64.0,YES ,217.0,Shelf 1,319.0,Safe
MED113,Ibuprofen,Syrup,76.0,250.66,Healthcare Distributors,2027-07-28,15-05-2025,34.0,NO,278.0,Rack B,432.0,Safe
MED114,Vitamin C,Capsule,24.0,250.0,Abc Pharma,2028-09-17,24-08-2026,37.0,YES ,37.0,Rack B,849.0,Safe
MED115,Cetirizine,Capsule,754.0,427.0,Healthcare Distributors,2026-10-29,31-03-2024,84.0,YES ,182.0,Rack C,160.0,Safe
MED116,Azithromycin,Injection,35.0,422.43,Apollo Meds,2025-07-28,04-12-2024,99.0,NO,20.0,Rack B,-298.0,Expired
MED117,Cetirizine,Tablet,753.0,634.4,Healthcare Distributors,2028-10-21,12-11-2027,90.0,YES ,127.0,Rack A,883.0,Safe
MED118,Paracetamol,Syrup,32.0,522.0,Medlife Suppliers,2026-01-12,08-09-2025,90.0,NO,108.0,Cold Storage,-130.0,Expired
MED119,Omeprazole,Injection,534.0,356.53,Abc Pharma,2027-04-06,16-09-2025,29.0,NO,6.0,Cold Storage,319.0,Safe
MED120,Insulin,Tablet,35.0,242.66,Medlife Suppliers,2027-07-28,05-12-2026,41.0,YES ,131.0,Shelf 1,432.0,Safe
MED121,Vitamin C,Injection,85.0,643.77,Medlife Suppliers,2026-10-20,12-09-2025,26.0,YES ,180.0,Cold Storage,151.0,Safe
MED122,Omeprazole,Injection,73.0,124.9,Sun Pharma,2026-12-12,05-12-2026,24.0,YES ,230.0,Shelf 1,204.0,Safe
MED123,Vitamin C,Tablet,854.0,123.0,Apollo Meds,2027-04-06,12-09-2025,85.0,YES ,96.0,Shelf 1,319.0,Safe
MED124,Metfromin,Syrup,86.0,534.0,Abc Pharma,2027-11-02,29-10-2025,71.0,YES ,87.0,Rack C,529.0,Safe
MED125,Vitamin C,Capsule,57.0,412.52,Healthcare Distributors,2026-10-20,01-12-2025,26.0,NO,53.0,Cold Storage,151.0,Safe
MED126,Dolo 651,Syrup,243.0,326.89,Apollo Meds,2026-01-12,26-07-2024,96.0,NO,236.0,Shelf 1,-130.0,Expired
MED127,Insulin,Capsule,743.0,76.34,Healthcare Distributors,2027-04-06,30-01-2025,35.0,YES ,15.0,Shelf 2,319.0,Safe
MED128,Paracetamol,Injection,75.0,324.22,Abc Pharma,2027-07-28,08-11-2025,55.0,NO,290.0,Shelf 1,432.0,Safe
MED129,Metfromin,Injection,86.0,532.64,Healthcare Distributors,2028-09-17,21-04-2027,43.0,YES ,243.0,Rack C,849.0,Safe
MED130,Amoxicillin,Tablet,13.0,120.0,Apollo Meds,2026-10-29,01-10-2026,89.0,YES ,134.0,Cold Storage,160.0,Safe
MED131,Ibuprofen,Syrup,35.0,100.1,Healthcare Distributors,2027-07-28,12-06-2025,70.0,YES ,40.0,Rack C,432.0,Safe
MED132,Azithromycin,Capsule,84.0,756.88,Medlife Suppliers,2026-10-20,12-07-2025,95.0,YES ,248.0,Rack A,151.0,Safe
MED133,Ibuprofen,Syrup,463.0,479.0,Abc Pharma,2026-01-12,18-05-2024,12.0,NO,99.0,Rack A,-130.0,Expired
MED134,Vitamin C,Capsule,74.0,500.0,Medlife Suppliers,2027-04-06,15-05-2025,75.0,YES ,216.0,Shelf 1,319.0,Safe
MED135,Cetirizine,Tablet,234.0,639.55,Medlife Suppliers,2027-07-28,24-08-2026,90.0,NO,204.0,Rack C,432.0,Safe
MED136,Azithromycin,Injection,674.0,423.23,Sun Pharma,2026-10-20,31-03-2024,93.0,YES ,37.0,Rack C,151.0,Safe
MED137,Cetirizine,Capsule,89.0,421.89,Apollo Meds,2026-01-12,04-12-2025,29.0,YES ,247.0,Rack B,-130.0,Expired
MED138,Paracetamol,Tablet,21.0,789.09,Abc Pharma,2027-04-06,12-11-2026,84.0,YES ,286.0,Shelf 2,319.0,Safe
MED139,Omeprazole,Capsule,13.0,421.54,Healthcare Distributors,2027-11-02,08-09-2025,49.0,NO,159.0,Rack B,529.0,Safe
MED140,Insulin,Syrup,33.0,642.0,Apollo Meds,2026-10-20,16-09-2025,50.0,YES ,67.0,Cold Storage,151.0,Safe
MED141,Vitamin C,Capsule,311.0,878.23,Healthcare Distributors,2026-01-12,05-12-2025,66.0,NO,0.0,Rack A,-130.0,Expired
MED142,Omeprazole,Capsule,900.0,535.0,Abc Pharma,2027-04-06,12-09-2025,23.0,NO,7.0,Rack B,319.0,Safe
MED143,Vitamin C,Injection,422.0,122.0,Healthcare Distributors,2027-07-28,05-12-2026,45.0,YES ,90.0,Cold Storage,432.0,Safe
MED144,Metfromin,Tablet,423.0,214.0,Apollo Meds,2028-09-17,12-09-2025,76.0,NO,7.0,Cold Storage,849.0,Safe
MED145,Vitamin C,Syrup,244.0,543.0,Healthcare Distributors,2026-10-29,29-10-2025,34.0,YES ,300.0,Shelf 1,160.0,Safe
MED146,Dolo 652,Injection,22.0,523.99,Medlife Suppliers,2027-07-28,01-12-2026,78.0,YES ,145.0,Rack B,432.0,Safe
MED147,Insulin,Tablet,24.0,653.33,Abc Pharma,2026-10-20,26-07-2024,47.0,YES ,98.0,Shelf 2,151.0,Safe
MED148,Paracetamol,Injection,243.0,543.55,Medlife Suppliers,2026-01-12,30-01-2025,93.0,YES ,243.0,Shelf 1,-130.0,Expired
MED149,Metfromin,Injection,352.0,134.69,Medlife Suppliers,2027-04-06,08-11-2025,30.0,YES ,243.0,Rack C,319.0,Safe
MED150,Amoxicillin,Tablet,523.0,437.99,Sun Pharma,2027-07-28,21-04-2026,56.0,YES ,219.0,Rack B,432.0,Safe
MED151,Ibuprofen,Syrup,856.0,462.44,Apollo Meds,2027-10-20,01-10-2027,23.0,YES ,190.0,Cold Storage,516.0,Safe
MED152,Azithromycin,Capsule,874.0,423.78,Abc Pharma,2026-01-12,12-06-2025,57.0,NO,271.0,Rack C,-130.0,Expired
MED153,Ibuprofen,Syrup,213.0,422.44,Healthcare Distributors,2027-04-06,12-07-2025,74.0,NO,54.0,Rack B,319.0,Safe
MED154,Vitamin C,Capsule,131.0,764.0,Apollo Meds,2027-11-02,18-05-2026,34.0,NO,16.0,Rack A,529.0,Safe
MED155,Cetirizine,Injection,141.0,643.0,Healthcare Distributors,2026-10-20,15-05-2025,85.0,YES ,128.0,Rack C,151.0,Safe
MED156,Azithromycin,Injection,63.0,89.0,Abc Pharma,2026-01-12,24-08-2025,24.0,YES ,64.0,Cold Storage,-130.0,Expired
MED157,Cetirizine,Tablet,876.0,874.44,Healthcare Distributors,2027-04-06,31-03-2024,45.0,NO,59.0,Cold Storage,319.0,Safe
MED158,Paracetamol,Syrup,654.0,423.0,Apollo Meds,2027-07-28,04-12-2025,66.0,NO,246.0,Shelf 2,432.0,Safe
MED159,Omeprazole,Capsule,234.0,290.0,Healthcare Distributors,2028-09-17,12-11-2027,111.0,NO,218.0,Cold Storage,849.0,Safe
MED160,Insulin,Syrup,21.0,432.0,Medlife Suppliers,2026-10-29,08-09-2025,65.0,NO,198.0,Rack C,160.0,Safe
MED161,Vitamin C,Capsule,321.0,677.55,Abc Pharma,2027-07-28,16-09-2025,83.0,NO,229.0,Rack A,432.0,Safe
MED162,Omeprazole,Tablet,53.0,733.0,Medlife Suppliers,2026-10-20,05-01-2026,73.0,YES ,285.0,Rack C,151.0,Safe
MED163,Vitamin C,Injection,890.0,954.0,Medlife Suppliers,2026-01-12,12-09-2025,39.0,YES ,84.0,Rack C,-130.0,Expired
MED164,Metfromin,Capsule,654.0,644.77,Sun Pharma,2027-04-06,05-12-2026,40.0,YES ,175.0,Shelf 2,319.0,Safe
MED165,Vitamin C,Tablet,342.0,500.9,Apollo Meds,2027-07-28,12-09-2025,72.0,NO,35.0,Rack C,432.0,Safe
MED166,Dolo 653,Capsule,312.0,899.4,Abc Pharma,2026-10-20,29-10-2025,60.0,NO,11.0,Rack B,151.0,Safe
MED167,Insulin,Syrup,76.0,643.0,Healthcare Distributors,2026-01-12,01-12-2024,43.0,YES ,130.0,Shelf 2,-130.0,Expired
MED168,Azithromycin,Capsule,423.0,434.99,Apollo Meds,2027-04-06,26-07-2026,78.0,NO,161.0,Shelf 1,319.0,Safe
MED169,Ibuprofen,Capsule,123.0,290.0,Healthcare Distributors,2027-11-02,30-01-2025,112.0,NO,34.0,Shelf 1,529.0,Safe
MED170,Vitamin C,Injection,88.0,344.78,Abc Pharma,2026-10-20,08-11-2025,130.0,YES ,65.0,Rack B,151.0,Safe
MED171,Cetirizine,Tablet,11.0,543.0,Healthcare Distributors,2026-01-12,23-04-2025,62.0,YES ,295.0,Rack A,-130.0,Expired
MED172,Azithromycin,Syrup,10.0,980.0,Apollo Meds,2027-12-06,01-10-2027,88.0,YES ,136.0,Rack B,563.0,Safe
MED173,Cetirizine,Injection,99.0,106.88,Healthcare Distributors,2027-07-28,12-06-2025,53.0,NO,64.0,Cold Storage,432.0,Safe
MED174,Paracetamol,Tablet,123.0,150.0,Medlife Suppliers,2028-09-17,12-07-2025,94.0,NO,1.0,Rack A,849.0,Safe
MED175,Omeprazole,Injection,835.0,322.0,Abc Pharma,2026-10-29,18-05-2026,66.0,YES ,71.0,Cold Storage,160.0,Safe
MED176,Insulin,Injection,537.0,43.54,Medlife Suppliers,2027-07-28,15-05-2025,34.0,NO,61.0,Shelf 2,432.0,Safe
MED177,Vitamin C,Tablet,76.0,423.56,Medlife Suppliers,2026-10-20,24-08-2026,133.0,YES ,68.0,Shelf 2,151.0,Safe
MED178,Omeprazole,Syrup,63.0,75.4,Sun Pharma,2026-01-12,31-03-2024,75.0,YES ,239.0,Rack C,-130.0,Expired
MED179,Vitamin C,Capsule,87.0,243.66,Apollo Meds,2027-04-06,04-12-2025,53.0,YES ,294.0,Shelf 2,319.0,Safe
MED180,Metfromin,Syrup,55.0,642.0,Abc Pharma,2027-07-28,12-11-2026,39.0,YES ,120.0,Cold Storage,432.0,Safe
MED181,Vitamin C,Capsule,33.0,645.0,Healthcare Distributors,2026-10-20,08-09-2025,91.0,NO,77.0,Shelf 2,151.0,Safe
MED182,Dolo 652,Injection,87.0,423.0,Apollo Meds,2026-01-12,16-09-2025,10.0,NO,74.0,Rack A,-130.0,Expired
MED183,Insulin,Injection,334.0,677.0,Healthcare Distributors,2027-04-06,05-12-2026,27.0,NO,107.0,Cold Storage,319.0,Safe
MED184,Paracetamol,Tablet,766.0,565.0,Abc Pharma,2027-11-02,12-09-2025,128.0,YES ,219.0,Cold Storage,529.0,Safe
MED185,Metfromin,Syrup,43.0,454.0,Healthcare Distributors,2026-10-20,05-06-2026,53.0,YES ,87.0,Rack B,151.0,Safe
MED186,Amoxicillin,Capsule,234.0,978.0,Apollo Meds,2026-01-12,12-09-2025,764.0,YES ,288.0,Rack B,-130.0,Expired
MED187,Ibuprofen,Syrup,12.0,799.0,Healthcare Distributors,2027-04-06,29-10-2025,85.0,YES ,244.0,Shelf 1,319.0,Safe
MED188,Azithromycin,Capsule,75.0,789.0,Medlife Suppliers,2027-07-28,01-12-2026,343.0,NO,182.0,Shelf 2,432.0,Safe
MED189,Ibuprofen,Tablet,421.0,654.0,Abc Pharma,2028-09-17,26-07-2027,54.0,YES ,48.0,Shelf 1,849.0,Safe
MED190,Vitamin C,Injection,535.0,453.0,Medlife Suppliers,2026-10-29,30-01-2025,77.0,YES ,0.0,Shelf 2,160.0,Safe
